,Locality,Year,FIPS Code,Source,Type,Case Count Display,Rate,VDH Health District,VDH Health District Case Count Display,VDH Health District Case Rate,VDH Health Region,VDH Health Region Case Count Display,VDH Health Region Case Rate,Virginia Hospital & Healthcare Preparedness Region,Virginia Hospital & Healthcare Preparedness Region Case Count Display,Virginia Hospital & Healthcare Preparedness Region Case Rate,Virginia Department of Emergency Management Region,Virginia Department of Emergency Management Region Case Count Display,Virginia Department of Emergency Management Region Case Rate,Community Service Board,Community Service Board Case Count Display,Community Service Board Case Rate,Virginia State Police Division,Virginia State Police Division Case Count Display,Virginia State Police Division Case Rate,Virginia State,Virginia State Case Count Display,Virginia State Case Rate,X__2
1493,Lunenburg,2014,51111,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Piedmont,0,0,Central,74,5.2,Central,74,5.2,Central Virginia,15,2,Crossroads Community Services Board,0,0,VSP Division 3,13,2,Virginia State,353,4.2,12369
1495,Lunenburg,2014,51111,ED,ED Opioid Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,12369
1515,Madison,2014,51113,OD Death,Fatal Prescription Opioid Overdose,NA,7.6,Rappahannock Rapidan,22,12.7,Northwest,89,6.9,Northwest,69,7.9,Culpeper,68,10.2,Rappahannock-Rapidan Community Services Board,22,12.7,VSP Division 2,75,9,Virginia State,501,6,13108
1517,Madison,2014,51113,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Rappahannock Rapidan,15,8.7,Northwest,62,4.8,Northwest,47,5.4,Culpeper,46,6.9,Rappahannock-Rapidan Community Services Board,15,8.7,VSP Division 2,49,5.9,Virginia State,353,4.2,13108
1519,Madison,2014,51113,ED,ED Opioid Overdose,0,0,Rappahannock Rapidan,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Rappahannock-Rapidan Community Services Board,0,0,VSP Division 2,0,0,Virginia State,0,0,13108
1521,Madison,2014,51113,ED,ED Heroin Overdose,0,0,Rappahannock Rapidan,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Rappahannock-Rapidan Community Services Board,0,0,VSP Division 2,0,0,Virginia State,0,0,13108
1554,Mathews,2014,51115,OD Death,Fatal Prescription Opioid Overdose,NA,22.6,Three Rivers,7,5,Eastern,105,5.7,Eastern,105,5.7,Tidewater,106,5.9,Middle Peninsula-Northern Neck Community Services Board,7,5,VSP Division 5,105,5.8,Virginia State,501,6,8830
1559,Mathews,2014,51115,ED,ED Heroin Overdose,0,0,Three Rivers,0,0,Eastern,0,0,Eastern,0,0,Tidewater,0,0,Middle Peninsula-Northern Neck Community Services Board,0,0,VSP Division 5,0,0,Virginia State,0,0,8830
1565,Mathews,2014,51115,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,11.3,Three Rivers,NA,1.4,Eastern,86,4.7,Eastern,86,4.7,Tidewater,86,4.8,Middle Peninsula-Northern Neck Community Services Board,NA,1.4,VSP Division 5,85,4.7,Virginia State,353,4.2,8830
1568,Mathews,2014,51115,ED,ED Opioid Overdose,0,0,Three Rivers,0,0,Eastern,0,0,Eastern,0,0,Tidewater,0,0,Middle Peninsula-Northern Neck Community Services Board,0,0,VSP Division 5,0,0,Virginia State,0,0,8830
1572,Mecklenburg,2014,51117,ED,ED Heroin Overdose,0,0,Southside,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Southside Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,30959
1591,Mecklenburg,2014,51117,ED,ED Opioid Overdose,0,0,Southside,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Southside Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,30959
1592,Mecklenburg,2014,51117,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,3.2,Southside,NA,1.2,Central,74,5.2,Central,74,5.2,Central Virginia,15,2,Southside Community Services Board,NA,1.2,VSP Division 3,13,2,Virginia State,353,4.2,30959
1595,Mecklenburg,2014,51117,OD Death,Fatal Prescription Opioid Overdose,NA,3.2,Southside,NA,1.2,Central,54,3.8,Central,54,3.8,Central Virginia,26,3.4,Southside Community Services Board,NA,1.2,VSP Division 3,18,2.8,Virginia State,501,6,30959
1611,Middlesex,2014,51119,ED,ED Opioid Overdose,0,0,Three Rivers,0,0,Eastern,0,0,Eastern,0,0,Tidewater,0,0,Middle Peninsula-Northern Neck Community Services Board,0,0,VSP Division 5,0,0,Virginia State,0,0,10710
1613,Middlesex,2014,51119,ED,ED Heroin Overdose,0,0,Three Rivers,0,0,Eastern,0,0,Eastern,0,0,Tidewater,0,0,Middle Peninsula-Northern Neck Community Services Board,0,0,VSP Division 5,0,0,Virginia State,0,0,10710
1623,Middlesex,2014,51119,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Three Rivers,NA,1.4,Eastern,86,4.7,Eastern,86,4.7,Tidewater,86,4.8,Middle Peninsula-Northern Neck Community Services Board,NA,1.4,VSP Division 5,85,4.7,Virginia State,353,4.2,10710
1624,Middlesex,2014,51119,OD Death,Fatal Prescription Opioid Overdose,NA,9.3,Three Rivers,7,5,Eastern,105,5.7,Eastern,105,5.7,Tidewater,106,5.9,Middle Peninsula-Northern Neck Community Services Board,7,5,VSP Division 5,105,5.8,Virginia State,501,6,10710
1632,Montgomery,2014,51121,OD Death,Fatal Prescription Opioid Overdose,6,6.2,New River,18,9.9,Southwest,160,11.8,Near Southwest,91,9.2,Roanoke Area,64,8.5,New River Valley Community Services,18,9.9,VSP Division 6,65,8.4,Virginia State,501,6,97692
1635,Montgomery,2014,51121,ED,ED Opioid Overdose,0,0,New River,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,New River Valley Community Services,0,0,VSP Division 6,0,0,Virginia State,0,0,97692
1651,Montgomery,2014,51121,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,1,New River,NA,1.7,Southwest,47,3.5,Near Southwest,42,4.2,Roanoke Area,36,4.8,New River Valley Community Services,NA,1.7,VSP Division 6,36,4.7,Virginia State,353,4.2,97692
1652,Montgomery,2014,51121,ED,ED Heroin Overdose,0,0,New River,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,New River Valley Community Services,0,0,VSP Division 6,0,0,Virginia State,0,0,97692
1657,Nelson,2014,51125,ED,ED Heroin Overdose,0,0,Thomas Jefferson,0,0,Northwest,0,0,Northwest,0,0,Central Virginia,0,0,Region Ten Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,14863
1658,Nelson,2014,51125,OD Death,Fatal Prescription Opioid Overdose,NA,6.7,Thomas Jefferson,5,2,Northwest,89,6.9,Northwest,69,7.9,Central Virginia,26,3.4,Region Ten Community Services Board,5,2,VSP Division 3,18,2.8,Virginia State,501,6,14863
1670,Nelson,2014,51125,ED,ED Opioid Overdose,0,0,Thomas Jefferson,0,0,Northwest,0,0,Northwest,0,0,Central Virginia,0,0,Region Ten Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,14863
1671,Nelson,2014,51125,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,6.7,Thomas Jefferson,7,2.9,Northwest,62,4.8,Northwest,47,5.4,Central Virginia,15,2,Region Ten Community Services Board,7,2.9,VSP Division 3,13,2,Virginia State,353,4.2,14863
1693,New Kent,2014,51127,ED,ED Opioid Overdose,0,0,Chickahominy,0,0,Central,0,0,Central,0,0,Richmond,0,0,Henrico Area Mental Health and Developmental Services,0,0,VSP Division 1,0,0,Virginia State,0,0,20523
1694,New Kent,2014,51127,OD Death,Fatal Prescription Opioid Overdose,NA,5,Chickahominy,NA,2.7,Central,54,3.8,Central,54,3.8,Richmond,51,3.9,Henrico Area Mental Health and Developmental Services,9,2.6,VSP Division 1,56,4,Virginia State,501,6,20523
1696,New Kent,2014,51127,ED,ED Heroin Overdose,0,0,Chickahominy,0,0,Central,0,0,Central,0,0,Richmond,0,0,Henrico Area Mental Health and Developmental Services,0,0,VSP Division 1,0,0,Virginia State,0,0,20523
1703,New Kent,2014,51127,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,5,Chickahominy,8,5.3,Central,74,5.2,Central,74,5.2,Richmond,73,5.6,Henrico Area Mental Health and Developmental Services,23,6.6,VSP Division 1,78,5.6,Virginia State,353,4.2,20523
1714,Northampton,2014,51131,ED,ED Opioid Overdose,0,0,Eastern Shore,0,0,Eastern,0,0,Eastern,0,0,Tidewater,0,0,Eastern Shore Community Services Board,0,0,VSP Division 5,0,0,Virginia State,0,0,11998
1719,Northampton,2014,51131,OD Death,Fatal Prescription Opioid Overdose,NA,8.3,Eastern Shore,7,15.5,Eastern,105,5.7,Eastern,105,5.7,Tidewater,106,5.9,Eastern Shore Community Services Board,7,15.5,VSP Division 5,105,5.8,Virginia State,501,6,11998
1725,Northampton,2014,51131,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Eastern Shore,NA,4.4,Eastern,86,4.7,Eastern,86,4.7,Tidewater,86,4.8,Eastern Shore Community Services Board,NA,4.4,VSP Division 5,85,4.7,Virginia State,353,4.2,11998
1736,Northampton,2014,51131,ED,ED Heroin Overdose,0,0,Eastern Shore,0,0,Eastern,0,0,Eastern,0,0,Tidewater,0,0,Eastern Shore Community Services Board,0,0,VSP Division 5,0,0,Virginia State,0,0,11998
1746,Northumberland,2014,51133,ED,ED Opioid Overdose,0,0,Three Rivers,0,0,Eastern,0,0,Eastern,0,0,Tidewater,0,0,Middle Peninsula-Northern Neck Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,12254
1749,Northumberland,2014,51133,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,8.2,Three Rivers,NA,1.4,Eastern,86,4.7,Eastern,86,4.7,Tidewater,86,4.8,Middle Peninsula-Northern Neck Community Services Board,NA,1.4,VSP Division 1,78,5.6,Virginia State,353,4.2,12254
1755,Northumberland,2014,51133,ED,ED Heroin Overdose,0,0,Three Rivers,0,0,Eastern,0,0,Eastern,0,0,Tidewater,0,0,Middle Peninsula-Northern Neck Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,12254
1758,Northumberland,2014,51133,OD Death,Fatal Prescription Opioid Overdose,0,0,Three Rivers,7,5,Eastern,105,5.7,Eastern,105,5.7,Tidewater,106,5.9,Middle Peninsula-Northern Neck Community Services Board,7,5,VSP Division 1,56,4,Virginia State,501,6,12254
1773,Nottoway,2014,51135,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Piedmont,0,0,Central,74,5.2,Central,74,5.2,Richmond,73,5.6,Crossroads Community Services Board,0,0,VSP Division 1,78,5.6,Virginia State,353,4.2,15537
1775,Nottoway,2014,51135,ED,ED Opioid Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Richmond,0,0,Crossroads Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,15537
1784,Nottoway,2014,51135,OD Death,Fatal Prescription Opioid Overdose,0,0,Piedmont,NA,1.9,Central,54,3.8,Central,54,3.8,Richmond,51,3.9,Crossroads Community Services Board,NA,1.9,VSP Division 1,56,4,Virginia State,501,6,15537
1788,Nottoway,2014,51135,ED,ED Heroin Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Richmond,0,0,Crossroads Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,15537
1795,Orange,2014,51137,OD Death,Fatal Prescription Opioid Overdose,8,22.8,Rappahannock Rapidan,22,12.7,Northwest,89,6.9,Northwest,69,7.9,Culpeper,68,10.2,Rappahannock-Rapidan Community Services Board,22,12.7,VSP Division 2,75,9,Virginia State,501,6,35265
1800,Orange,2014,51137,OD Death,Fatal Fentanyl and/or Heroin Overdose,6,17.1,Rappahannock Rapidan,15,8.7,Northwest,62,4.8,Northwest,47,5.4,Culpeper,46,6.9,Rappahannock-Rapidan Community Services Board,15,8.7,VSP Division 2,49,5.9,Virginia State,353,4.2,35265
1810,Orange,2014,51137,ED,ED Opioid Overdose,0,0,Rappahannock Rapidan,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Rappahannock-Rapidan Community Services Board,0,0,VSP Division 2,0,0,Virginia State,0,0,35265
1813,Orange,2014,51137,ED,ED Heroin Overdose,0,0,Rappahannock Rapidan,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Rappahannock-Rapidan Community Services Board,0,0,VSP Division 2,0,0,Virginia State,0,0,35265
1825,Page,2014,51139,ED,ED Heroin Overdose,0,0,Lord Fairfax,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Northwestern Community Services,0,0,VSP Division 2,0,0,Virginia State,0,0,23694
1833,Page,2014,51139,ED,ED Opioid Overdose,0,0,Lord Fairfax,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Northwestern Community Services,0,0,VSP Division 2,0,0,Virginia State,0,0,23694
1841,Page,2014,51139,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,8.4,Lord Fairfax,23,10,Northwest,62,4.8,Northwest,47,5.4,Culpeper,46,6.9,Northwestern Community Services,23,10,VSP Division 2,49,5.9,Virginia State,353,4.2,23694
1846,Page,2014,51139,OD Death,Fatal Prescription Opioid Overdose,5,21,Lord Fairfax,35,15.2,Northwest,89,6.9,Northwest,69,7.9,Culpeper,68,10.2,Northwestern Community Services,35,15.2,VSP Division 2,75,9,Virginia State,501,6,23694
1853,Patrick,2014,51141,ED,ED Heroin Overdose,0,0,West Piedmont,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Piedmont Community Services,0,0,VSP Division 6,0,0,Virginia State,0,0,17958
1856,Patrick,2014,51141,ED,ED Opioid Overdose,0,0,West Piedmont,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Piedmont Community Services,0,0,VSP Division 6,0,0,Virginia State,0,0,17958
1871,Patrick,2014,51141,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,West Piedmont,5,3.6,Southwest,47,3.5,Near Southwest,42,4.2,Roanoke Area,36,4.8,Piedmont Community Services,5,3.6,VSP Division 6,36,4.7,Virginia State,353,4.2,17958
1872,Patrick,2014,51141,OD Death,Fatal Prescription Opioid Overdose,NA,11,West Piedmont,16,11.4,Southwest,160,11.8,Near Southwest,91,9.2,Roanoke Area,64,8.5,Piedmont Community Services,16,11.4,VSP Division 6,65,8.4,Virginia State,501,6,17958
1892,Pittsylvania,2014,51143,ED,ED Heroin Overdose,0,0,Pittsylvania-Danville,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Danville-Pittsylvania Community Services,0,0,VSP Division 6,0,0,Virginia State,0,0,61970
1894,Pittsylvania,2014,51143,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Pittsylvania-Danville,NA,2.9,Southwest,47,3.5,Near Southwest,42,4.2,Roanoke Area,36,4.8,Danville-Pittsylvania Community Services,NA,2.9,VSP Division 6,36,4.7,Virginia State,353,4.2,61970
1897,Pittsylvania,2014,51143,ED,ED Opioid Overdose,0,0,Pittsylvania-Danville,0,0,Southwest,0,0,Near Southwest,0,0,Roanoke Area,0,0,Danville-Pittsylvania Community Services,0,0,VSP Division 6,0,0,Virginia State,0,0,61970
1899,Pittsylvania,2014,51143,OD Death,Fatal Prescription Opioid Overdose,NA,3.2,Pittsylvania-Danville,12,11.4,Southwest,160,11.8,Near Southwest,91,9.2,Roanoke Area,64,8.5,Danville-Pittsylvania Community Services,12,11.4,VSP Division 6,65,8.4,Virginia State,501,6,61970
1912,Powhatan,2014,51145,ED,ED Heroin Overdose,0,0,Chesterfield,0,0,Central,0,0,Central,0,0,Richmond,0,0,Goochland-Powhatan Community Services,0,0,VSP Division 1,0,0,Virginia State,0,0,28364
1920,Powhatan,2014,51145,ED,ED Opioid Overdose,0,0,Chesterfield,0,0,Central,0,0,Central,0,0,Richmond,0,0,Goochland-Powhatan Community Services,0,0,VSP Division 1,0,0,Virginia State,0,0,28364
1923,Powhatan,2014,51145,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Chesterfield,11,2.9,Central,74,5.2,Central,74,5.2,Richmond,73,5.6,Goochland-Powhatan Community Services,NA,2,VSP Division 1,78,5.6,Virginia State,353,4.2,28364
1924,Powhatan,2014,51145,OD Death,Fatal Prescription Opioid Overdose,NA,7,Chesterfield,18,4.8,Central,54,3.8,Central,54,3.8,Richmond,51,3.9,Goochland-Powhatan Community Services,NA,6,VSP Division 1,56,4,Virginia State,501,6,28364
1937,Prince Edward,2014,51147,ED,ED Opioid Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,22903
1945,Prince Edward,2014,51147,ED,ED Heroin Overdose,0,0,Piedmont,0,0,Central,0,0,Central,0,0,Central Virginia,0,0,Crossroads Community Services Board,0,0,VSP Division 3,0,0,Virginia State,0,0,22903
1947,Prince Edward,2014,51147,OD Death,Fatal Prescription Opioid Overdose,0,0,Piedmont,NA,1.9,Central,54,3.8,Central,54,3.8,Central Virginia,26,3.4,Crossroads Community Services Board,NA,1.9,VSP Division 3,18,2.8,Virginia State,501,6,22903
1959,Prince Edward,2014,51147,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Piedmont,0,0,Central,74,5.2,Central,74,5.2,Central Virginia,15,2,Crossroads Community Services Board,0,0,VSP Division 3,13,2,Virginia State,353,4.2,22903
1967,Prince George,2014,51149,ED,ED Heroin Overdose,0,0,Crater,0,0,Central,0,0,Central,0,0,Richmond,0,0,District 19 Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,37704
1969,Prince George,2014,51149,OD Death,Fatal Prescription Opioid Overdose,NA,2.7,Crater,NA,2.6,Central,54,3.8,Central,54,3.8,Richmond,51,3.9,District 19 Community Services Board,NA,2.3,VSP Division 1,56,4,Virginia State,501,6,37704
1974,Prince George,2014,51149,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Crater,0,0,Central,74,5.2,Central,74,5.2,Richmond,73,5.6,District 19 Community Services Board,0,0,VSP Division 1,78,5.6,Virginia State,353,4.2,37704
1976,Prince George,2014,51149,ED,ED Opioid Overdose,0,0,Crater,0,0,Central,0,0,Central,0,0,Richmond,0,0,District 19 Community Services Board,0,0,VSP Division 1,0,0,Virginia State,0,0,37704
1989,Prince William,2014,51153,ED,ED Heroin Overdose,0,0,Prince William,0,0,Northern,0,0,Northern,0,0,Northern Virginia,0,0,Prince William County Community Services Board,0,0,VSP Division 7,0,0,Virginia State,0,0,450763
2001,Prince William,2014,51153,OD Death,Fatal Fentanyl and/or Heroin Overdose,16,3.6,Prince William,22,4.4,Northern,82,3.4,Northern,97,3.4,Northern Virginia,87,3.4,Prince William County Community Services Board,22,4.4,VSP Division 7,82,3.4,Virginia State,353,4.2,450763
2008,Prince William,2014,51153,ED,ED Opioid Overdose,0,0,Prince William,0,0,Northern,0,0,Northern,0,0,Northern Virginia,0,0,Prince William County Community Services Board,0,0,VSP Division 7,0,0,Virginia State,0,0,450763
2011,Prince William,2014,51153,OD Death,Fatal Prescription Opioid Overdose,22,4.9,Prince William,29,5.8,Northern,90,3.7,Northern,110,3.9,Northern Virginia,93,3.6,Prince William County Community Services Board,29,5.8,VSP Division 7,90,3.7,Virginia State,501,6,450763
2021,Pulaski,2014,51155,ED,ED Heroin Overdose,0,0,New River,0,0,Southwest,0,0,Near Southwest,0,0,Southwest,0,0,New River Valley Community Services,0,0,VSP Division 4,0,0,Virginia State,0,0,34330
2025,Pulaski,2014,51155,OD Death,Fatal Prescription Opioid Overdose,9,26.2,New River,18,9.9,Southwest,160,11.8,Near Southwest,91,9.2,Southwest,90,19.5,New River Valley Community Services,18,9.9,VSP Division 4,89,20.1,Virginia State,501,6,34330
2030,Pulaski,2014,51155,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,New River,NA,1.7,Southwest,47,3.5,Near Southwest,42,4.2,Southwest,8,1.7,New River Valley Community Services,NA,1.7,VSP Division 4,8,1.8,Virginia State,353,4.2,34330
2032,Pulaski,2014,51155,ED,ED Opioid Overdose,0,0,New River,0,0,Southwest,0,0,Near Southwest,0,0,Southwest,0,0,New River Valley Community Services,0,0,VSP Division 4,0,0,Virginia State,0,0,34330
2046,Rappahannock,2014,51157,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,13.6,Rappahannock Rapidan,15,8.7,Northwest,62,4.8,Northwest,47,5.4,Culpeper,46,6.9,Rappahannock-Rapidan Community Services Board,15,8.7,VSP Division 2,49,5.9,Virginia State,353,4.2,7359
2047,Rappahannock,2014,51157,ED,ED Heroin Overdose,0,0,Rappahannock Rapidan,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Rappahannock-Rapidan Community Services Board,0,0,VSP Division 2,0,0,Virginia State,0,0,7359
2061,Rappahannock,2014,51157,OD Death,Fatal Prescription Opioid Overdose,NA,13.6,Rappahannock Rapidan,22,12.7,Northwest,89,6.9,Northwest,69,7.9,Culpeper,68,10.2,Rappahannock-Rapidan Community Services Board,22,12.7,VSP Division 2,75,9,Virginia State,501,6,7359
2062,Rappahannock,2014,51157,ED,ED Opioid Overdose,0,0,Rappahannock Rapidan,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Rappahannock-Rapidan Community Services Board,0,0,VSP Division 2,0,0,Virginia State,0,0,7359
2080,Rockbridge,2014,51163,ED,ED Heroin Overdose,0,0,Central Shenandoah,0,0,Northwest,0,0,Northwest,0,0,Roanoke Area,0,0,Rockbridge Area Community Services,0,0,VSP Division 6,0,0,Virginia State,0,0,22440
2083,Rockbridge,2014,51163,OD Death,Fatal Prescription Opioid Overdose,0,0,Central Shenandoah,13,4.4,Northwest,89,6.9,Northwest,69,7.9,Roanoke Area,64,8.5,Rockbridge Area Community Services,0,0,VSP Division 6,65,8.4,Virginia State,501,6,22440
2085,Rockbridge,2014,51163,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Central Shenandoah,5,1.7,Northwest,62,4.8,Northwest,47,5.4,Roanoke Area,36,4.8,Rockbridge Area Community Services,0,0,VSP Division 6,36,4.7,Virginia State,353,4.2,22440
2092,Rockbridge,2014,51163,ED,ED Opioid Overdose,0,0,Central Shenandoah,0,0,Northwest,0,0,Northwest,0,0,Roanoke Area,0,0,Rockbridge Area Community Services,0,0,VSP Division 6,0,0,Virginia State,0,0,22440
2107,Rockingham,2014,51165,OD Death,Fatal Prescription Opioid Overdose,5,6.4,Central Shenandoah,13,4.4,Northwest,89,6.9,Northwest,69,7.9,Central Virginia,26,3.4,Harrisonburg-Rockingham Community Services Board,8,6.1,VSP Division 2,75,9,Virginia State,501,6,78653
2114,Rockingham,2014,51165,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,2.6,Central Shenandoah,5,1.7,Northwest,62,4.8,Northwest,47,5.4,Central Virginia,15,2,Harrisonburg-Rockingham Community Services Board,NA,1.5,VSP Division 2,49,5.9,Virginia State,353,4.2,78653
2125,Rockingham,2014,51165,ED,ED Heroin Overdose,0,0,Central Shenandoah,0,0,Northwest,0,0,Northwest,0,0,Central Virginia,0,0,Harrisonburg-Rockingham Community Services Board,0,0,VSP Division 2,0,0,Virginia State,0,0,78653
2128,Rockingham,2014,51165,ED,ED Opioid Overdose,0,0,Central Shenandoah,0,0,Northwest,0,0,Northwest,0,0,Central Virginia,0,0,Harrisonburg-Rockingham Community Services Board,0,0,VSP Division 2,0,0,Virginia State,0,0,78653
2132,Russell,2014,51167,ED,ED Heroin Overdose,0,0,Cumberland Plateau,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Cumberland Mountain Community Services,0,0,VSP Division 4,0,0,Virginia State,0,0,27725
2141,Russell,2014,51167,OD Death,Fatal Prescription Opioid Overdose,7,25,Cumberland Plateau,35,31.9,Southwest,160,11.8,Far Southwest,69,19,Southwest,90,19.5,Cumberland Mountain Community Services,30,31.7,VSP Division 4,89,20.1,Virginia State,501,6,27725
2154,Russell,2014,51167,ED,ED Opioid Overdose,0,0,Cumberland Plateau,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Cumberland Mountain Community Services,0,0,VSP Division 4,0,0,Virginia State,0,0,27725
2155,Russell,2014,51167,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,3.6,Cumberland Plateau,NA,0.9,Southwest,47,3.5,Far Southwest,5,1.4,Southwest,8,1.7,Cumberland Mountain Community Services,NA,1.1,VSP Division 4,8,1.8,Virginia State,353,4.2,27725
2169,Scott,2014,51169,ED,ED Opioid Overdose,0,0,Lenowisco,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Planning District One Behavioral Health Services,0,0,VSP Division 4,0,0,Virginia State,0,0,22290
2174,Scott,2014,51169,ED,ED Heroin Overdose,0,0,Lenowisco,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Planning District One Behavioral Health Services,0,0,VSP Division 4,0,0,Virginia State,0,0,22290
2178,Scott,2014,51169,OD Death,Fatal Prescription Opioid Overdose,NA,17.9,Lenowisco,14,15.3,Southwest,160,11.8,Far Southwest,69,19,Southwest,90,19.5,Planning District One Behavioral Health Services,14,15.3,VSP Division 4,89,20.1,Virginia State,501,6,22290
2184,Scott,2014,51169,OD Death,Fatal Fentanyl and/or Heroin Overdose,0,0,Lenowisco,0,0,Southwest,47,3.5,Far Southwest,5,1.4,Southwest,8,1.7,Planning District One Behavioral Health Services,0,0,VSP Division 4,8,1.8,Virginia State,353,4.2,22290
2196,Shenandoah,2014,51171,OD Death,Fatal Prescription Opioid Overdose,NA,2.3,Lord Fairfax,35,15.2,Northwest,89,6.9,Northwest,69,7.9,Culpeper,68,10.2,Northwestern Community Services,35,15.2,VSP Division 2,75,9,Virginia State,501,6,42854
2197,Shenandoah,2014,51171,ED,ED Heroin Overdose,0,0,Lord Fairfax,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Northwestern Community Services,0,0,VSP Division 2,0,0,Virginia State,0,0,42854
2205,Shenandoah,2014,51171,ED,ED Opioid Overdose,0,0,Lord Fairfax,0,0,Northwest,0,0,Northwest,0,0,Culpeper,0,0,Northwestern Community Services,0,0,VSP Division 2,0,0,Virginia State,0,0,42854
2211,Shenandoah,2014,51171,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,2.3,Lord Fairfax,23,10,Northwest,62,4.8,Northwest,47,5.4,Culpeper,46,6.9,Northwestern Community Services,23,10,VSP Division 2,49,5.9,Virginia State,353,4.2,42854
2215,Smyth,2014,51173,ED,ED Heroin Overdose,0,0,Mount Rogers,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Mount Rogers Community Services Board,0,0,VSP Division 4,0,0,Virginia State,0,0,31298
2227,Smyth,2014,51173,ED,ED Opioid Overdose,0,0,Mount Rogers,0,0,Southwest,0,0,Far Southwest,0,0,Southwest,0,0,Mount Rogers Community Services Board,0,0,VSP Division 4,0,0,Virginia State,0,0,31298
2238,Smyth,2014,51173,OD Death,Fatal Prescription Opioid Overdose,NA,3.2,Mount Rogers,29,15.2,Southwest,160,11.8,Far Southwest,69,19,Southwest,90,19.5,Mount Rogers Community Services Board,19,16,VSP Division 4,89,20.1,Virginia State,501,6,31298
2239,Smyth,2014,51173,OD Death,Fatal Fentanyl and/or Heroin Overdose,NA,3.2,Mount Rogers,6,3.1,Southwest,47,3.5,Far Southwest,5,1.4,Southwest,8,1.7,Mount Rogers Community Services Board,NA,3.4,VSP Division 4,8,1.8,Virginia State,353,4.2,31298
2244,Southampton,2014,51175,ED,ED Heroin Overdose,0,0,Western Tidewater,0,0,Eastern,0,0,Eastern,0,0,Tidewater,0,0,Western Tidewater Community Services Board,0,0,VSP Division 5,0,0,Virginia State,0,0,18089
